code,cb_sum,cb_propcorrect,csvtm_sum,cvstm_propcorrect,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,group_all,mean_rl_all,mean_e1_all,mean_d1_all,mean_d_all,pre1,pre2,pre3,pre4,post,strategies,vp_sum,vp_propcorrect
77,29,0.805555556,85,0.708333333,1,4,3,3,2,3,2,3,3,3,3,3,1,3,3,3,3,3,above,4.4,3.3,4.35375,35.67522,5,6.6,5.2,4.8,5.9,2,35,0.972222222
78,35,0.972222222,113,0.941666667,3,4,3,3,4,3,3,3,2,3,2,3,3,2,3,1,3,4,above,3.35,4.6,11.2956855,44.275715,8.9,8.4,8.8,8.1,6.3,1,35,0.972222222
79,31,0.861111111,87,0.725,2,4,4,2,3,3,3,4,2,3,2,3,3,3,4,1,2,3,control,4.75,3.75,5.2733625,34.80585,5,5.4,4.1,4.9,5.2,2,28,0.777777778
80,29,0.805555556,76,0.633333333,1,4,4,2,1,2,1,1,2,1,3,1,1,1,3,1,2,1,below,5.6,3.15,5.3639895,38.164985,6.6,4.5,3,5.7,4.7,2,29,0.805555556
81,27,0.75,96,0.8,3,3,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,above,5.8,3.25,6.3634765,45.629815,6.3,6,6.5,7.1,4.2,2,34,0.944444444
82,29,0.805555556,78,0.65,3,4,3,4,3,1,4,4,4,4,4,3,3,3,4,4,2,4,above,7.65,2.95,4.929031,45.135025,5.2,2.4,3,4,6.2,1,29,0.805555556
83,24,0.666666667,85,0.708333333,0,3,3,3,2,3,3,2,3,1,2,1,0,1,3,2,2,1,below,6,3.25,7.6114195,46.546725,7.7,2.9,2.2,1.6,2.5,1,34,0.944444444
84,28,0.777777778,99,0.825,3,4,4,4,3,4,4,4,0,4,4,4,3,3,3,1,2,4,control,4.3,4.5,15.3853175,58.284995,5.9,4.9,5.7,5.5,3.1,1,34,0.944444444
85,28,0.777777778,95,0.791666667,3,4,4,4,3,3,3,3,3,4,4,3,2,1,4,3,3,3,control,4.7,2.85,4.569705,32.317495,3.7,7,5.6,6.6,6,2,33,0.916666667
86,31,0.861111111,75,0.625,1,3,2,3,2,1,2,2,1,3,3,3,2,2,3,2,2,3,below,4.95,3.25,5.0048285,44.29033,5,4.5,2.8,4.8,3,2,33,0.916666667
87,25,0.694444444,83,0.691666667,2,4,3,3,3,3,3,3,2,3,3,3,2,1,4,1,3,3,above,5,2.95,4.3272515,39.55701,4.3,6,5,5.9,5,1,31,0.861111111
88,27,0.75,90,0.75,3,4,3,2,1,2,3,3,3,2,2,2,1,1,3,1,2,2,control,5,3.35,4.375949,29.72562,3.8,4.5,4,1.6,6.4,2,32,0.888888889
89,29,0.805555556,92,0.766666667,3,4,4,4,4,3,4,4,1,4,4,4,4,3,4,3,3,4,control,3.85,3.3,5.41058,34.72556,5.7,5.3,5.3,6.4,7.2,1,35,0.972222222
90,26,0.722222222,93,0.775,3,4,4,4,3,3,3,3,3,4,4,3,2,3,3,2,3,4,control,5.9,3.05,4.656481,38.40457,5.8,3.7,2.6,2.7,4.7,2,32,0.888888889
91,22,0.611111111,79,0.658333333,3,4,4,3,2,3,3,3,2,3,3,3,3,3,4,1,2,3,below,5.8,3.2,7.7065285,53.107005,5.7,2.5,2.1,4.5,2,1,30,0.833333333
92,27,0.75,97,0.808333333,3,3,3,3,1,3,2,3,0,2,1,3,3,1,3,1,2,1,control,6.1,2.55,3.2649205,27.54395,8.7,6.2,5.9,9.6,7.6,2,35,0.972222222
93,27,0.75,91,0.758333333,3,3,3,1,3,4,3,3,1,3,1,3,4,1,3,1,3,1,above,4.65,3.4,5.5067125,32.93737,6.5,6.7,6.1,6.2,7.6,2,30,0.833333333
94,27,0.75,100,0.833333333,3,3,2,3,2,2,2,1,3,3,2,3,1,2,3,1,2,3,above,4.85,3.35,6.3505835,38.682015,7.1,7.3,4.9,4.9,5.8,2,28,0.777777778
95,24,0.666666667,99,0.825,0,2,3,4,1,4,0,3,3,1,2,1,1,1,1,0,1,2,below,4.4,3.45,6.494848,45.208055,5.4,2.6,3.4,1.3,0.7,2,34,0.944444444
96,26,0.722222222,76,0.633333333,2,3,3,3,1,1,3,3,2,3,2,2,3,3,3,1,1,3,above,6.1,2.8,3.564481,35.88942,4.9,5,5.9,5.9,5.3,2,31,0.861111111
97,28,0.777777778,95,0.791666667,3,4,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,4,above,4.4,3.2,5.2961005,37.91438,5.6,4.8,5.8,5.8,6.3,2,31,0.861111111
98,21,0.583333333,87,0.725,3,3,3,3,4,3,3,3,2,3,4,3,2,3,4,3,3,3,control,4.9,3.3,4.3553285,35.35462,4.8,3,2.5,5.2,6.6,2,29,0.805555556
99,25,0.694444444,82,0.683333333,2,3,4,3,2,3,1,3,1,1,2,2,3,1,3,1,2,1,above,5.9,3.2,7.5207145,39.50405,6.7,7.3,6.5,6.3,7.5,1,31,0.861111111
100,27,0.75,83,0.691666667,4,3,4,1,3,3,1,4,2,3,3,3,0,2,4,1,3,4,above,3.6,4.45,11.129128,54.672110000000004,8.3,8,6.7,8.7,8.3,1,32,0.888888889
