code;question1;question2;question3;question4;question5;question6;question7;question8;question9;question10;question11;question12;question13;question14;question15;question16;question17;question18
112;3;4;3;3;3;3;3;2;1;3;3;3;1;2;3;2;3;3
113;2;4;2;2;4;3;3;1;2;3;2;3;3;3;3;2;3;3
114;1;3;3;1;1;1;1;3;2;1;3;1;1;3;3;1;1;1
115;3;4;2;3;2;2;3;3;3;3;3;3;1;1;3;1;2;3
116;2;3;2;3;3;3;4;4;2;3;3;2;1;1;3;1;2;3
117;3;3;4;3;3;3;3;3;1;3;3;1;1;3;3;2;3;3
118;3;4;3;3;3;2;3;4;2;3;4;3;3;1;4;1;3;4
119;2;4;3;4;4;1;3;4;3;4;4;3;1;0;4;1;3;4
120;2;3;3;3;2;3;2;2;1;3;3;3;1;2;2;1;2;3
121;2;4;3;3;3;3;4;3;1;3;3;4;3;1;4;1;2;3
122;2;3;4;4;2;3;3;4;3;3;4;3;3;4;4;4;3;4
123;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1
124;2;4;4;3;3;3;3;4;2;3;3;3;0;2;4;1;3;3
125;1;2;2;0;2;2;3;0;3;4;2;2;0;4;3;0;2;4
126;3;4;4;1;3;3;4;4;1;4;3;4;3;3;4;2;3;4
127;2;3;2;1;2;2;3;2;3;1;2;2;3;1;3;1;2;1
128;2;2;3;3;3;3;2;3;1;1;1;1;4;1;4;2;2;1
129;2;4;3;4;4;1;3;4;2;4;4;4;3;3;4;2;3;4
130;2;4;3;3;2;3;2;3;3;2;3;3;3;2;3;1;2;4
131;3;3;4;3;3;4;3;3;1;4;4;3;2;3;4;2;3;4
132;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
133;2;4;4;3;2;3;1;1;2;3;3;2;1;3;2;3;2;2
134;3;3;3;2;1;1;3;4;3;3;3;3;1;3;4;2;3;3
135;0;3;3;1;1;2;3;3;3;2;3;1;2;1;3;2;1;3
136;0;4;3;1;1;2;0;1;4;3;2;2;1;0;3;0;1;2
137;2;3;4;3;2;0;3;4;1;3;3;3;1;2;4;2;2;3
138;1;4;3;3;2;2;3;3;1;4;3;2;1;3;4;3;2;4
139;2;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3
140;3;3;3;3;4;4;4;4;3;4;2;3;3;2;4;4;4;4
141;2;4;3;4;2;2;4;3;1;4;4;3;3;3;3;3;2;3
142;2;4;3;4;3;1;3;3;3;3;3;2;1;3;3;1;3;3
143;2;4;3;3;3;3;3;3;2;3;4;1;1;1;3;1;2;3
144;0;2;1;2;0;0;1;3;2;1;0;0;0;0;1;3;0;1
145;2;3;4;1;1;3;2;3;1;1;1;3;3;3;3;1;1;2
146;3;3;3;2;1;1;3;2;3;2;1;3;3;1;3;1;3;2
147;1;2;4;3;1;2;1;1;2;1;3;1;2;3;3;1;1;1
148;2;3;3;4;3;3;2;4;0;4;4;2;4;3;3;4;3;4
149;3;4;4;4;3;3;3;4;0;4;4;3;2;3;3;2;3;3
150;1;1;3;0;1;0;1;4;1;0;0;1;1;1;1;0;1;0
151;3;3;3;2;3;2;2;3;0;3;3;3;0;2;3;0;2;3
152;2;3;3;4;1;2;1;4;3;4;1;2;3;2;2;1;2;3
153;1;3;3;1;2;2;3;3;1;2;3;2;0;1;2;0;2;2
154;2;3;3;1;3;2;2;3;3;1;3;3;1;1;4;1;2;1
155;1;3;4;3;2;3;2;4;4;3;3;1;3;3;4;1;2;3
156;2;3;3;3;3;3;2;4;3;4;4;3;2;2;3;4;3;3
157;3;4;4;3;3;3;4;4;1;3;3;3;3;3;4;2;3;3
158;3;4;4;4;3;4;4;4;3;4;4;0;2;4;4;3;4;4
159;3;4;3;4;3;3;4;4;2;4;4;3;3;3;4;1;3;4
